""
"Провести research по моделям, расставляющим знаки пунктуации","""silero_te"" от silero: мультиязычная, обученная обрабатывать тексты на 4 языках: русский, английский, немецкий, испанский. Весит 87.5 МБ. Архитектура - DistilBERT examples_te.ipynb - Colaboratory (google.com)  ""distilbert-base-multilingual-cased"" с Hugging Face: мультиязычная, обученная обрабатывать тексты на 104 языках. Весит 542 МБ и имеет 134 миллиона параметров. Архитектура - DistilBERT distilbert-base-multilingual-cased · Hugging Face ""oliverguhr/fullstop-punctuation-multilang-large"" с Hugging Face: расставляет следующие знаки пунктуации: ""."", "","", ""?"", "":"", ""-"", обучена на 4 языках: английский, итальянский, французский, немецкий. Весит 2.24 ГБ. oliverguhr/fullstop-punctuation-multilang-large · Hugging Face","","доп теория, sprint 4, sprint 5","Александр Никитин","",""
"Сгенерировать записи звонков","Создать тестовые записи звонков для тестировки модели распознавания голоса. Записи в разнообразных условиях(помехи на записи, разнообразные голоса) Условия записей: Время звонков ~1 минутаШумыРазнообразные личности Различная громкость собеседников1 неделя спринта Придуман набор ключевых слов - ссылка на дискДве тестовые записи, мужская и женская","","Голос, sprint 2, датасет","Indykov Dmitry","",""
"понять, как получать файл","","","backend, sprint 5","","",""
"Обработка изображений - тяжело","Как таковых, систем для анализа изображений в технической поддержке нету. Все изображения модерируются вручную. Возможно лишь внедрить распознавание текста окна и/или всплывающего окна ошибки для автоматического добавления тегов к тикету. Далее изображение будет вручную проверено и будет дана обратная связь","","prep, sprint 1","Indykov Dmitry","",""
"Изучение MLOps инструментов и пайплайнов. Теория","","","доп теория, sprint 2, sprint 3, sprint 4","Александр Локис","",""
"post, get запросы","","","backend, sprint 5","Egor Shtanko","",""
"закомментировать черновики нотубуков","","","Голос, sprint 3","Александр Локис","",""
"голосовые технологии","","","prep, sprint 1","Alexandr Frolov","",""
"Применение GPT-4 для краткой выжимки","При помощи запросов нейросети GPT-4 на базе bing из текстов выделены проблемы пользователей.  Самым лучшим запросом был:  Тебе будет дан диалог агента техподдержки и пользователя. Выдели оттуда: проблему, предложенное решение, получилось ли решить проблему. И здесь выписать проблему для дообучения сети.  Такое решение было выбрано потому что другие запросы выписывали в проблему и ответ агента техподдержки, что не нужно для нашей задачи.","","датасет, sprint 5, текст","Indykov Dmitry","",""
"Посмотреть туториалы по библиотеке NeMo","https://docs.nvidia.com/deeplearning/nemo/user- guide/docs/en/stable/asr/intro.html   https://docs.nvidia.com/deeplearning/nemo/user- guide/docs/en/stable/asr/models.html#models   https://docs.nvidia.com/deeplearning/nemo/user-guide/docs/en/stable/starthere/best-practices.html   Максимально просто о распознавании речи при помощи NeMo / Хабр (habr.com)   https://colab.research.google.com/github/NVIDIA/NeMo/blob/v1.0.2/tutorials/asr/01_ASR_with_NeMo.ipynb   https://colab.research.google.com/github/NVIDIA/NeMo/blob/stable/tutorials/asr/ASR_CTC_Language_Finetuning.ipynb","","доп теория, sprint 2","Александр Никитин","",""
"Расширить список ключевых слов и добавить сценарии разговоров","Ссылка на диск Добавить идей в текстовый файл по сценарию записей звонков и в файл с ключевыми словами. Где записи, можно добавить сразу в Table с выделением ключевых слов жирным шрифтом и добавлением их в правый столбец.","","Голос, sprint 3, датасет","","",""
"создать тех задание по сервису","Веб приложение(сервис), которое будет взаимодействовать с пользователем : Нужно получать файл с аудиозаписьюпонять, где и как будет хранится эта запись (бд?). Или просто копировать и потом считывать в переменную. закономерный вопрос, как быть с распараллеливанием запросов или в очередь ставить как-тосчитать файл в массив и отдать модели, получить строку с транскрипцией (этот код уже есть, его только вставить)автоматическое создание тикета с заполнеными полями: текст и время пока что пост запросом??? отправить клиенту тикет (пока что просто отобразить текст)Вопрос про распараллеливание запросов.","","sprint 4, backend","Александр Локис","",""
"Изучить Git","","","доп теория, sprint 3","Александр Никитин","",""
"как сделать очередь","Разобрал различные подходы к обработке запросов в порядке очереди, в целом можем обойтись простым модулем Query. При получении запроса он добавляется в очередь со статусом pending, когда достаем запрос из очереди, он получает статус processing, ну и в конце получает статус done и, если понадобится, то можно его как-то залогировать, ну а потом просто удаляется","","backend, sprint 5","Egor Shtanko","",""
"аугментировать на уровне звука тестовые данные","К каждой записи было добавлено 4 аугументации: изменение уровней громкости собеседников, наложение шума, два доролнительных посторонних звука(голоса на фоне, звуки дорожного трафика и т.д.) К каждой новой записи будут добавляться такие же аугументации сразу же Диск","","Голос, sprint 2, датасет","Indykov Dmitry","",""
"собрать все части сервиса отдельно","для тестирования сборки была поднята виртуальная машина, которая будет являться с сервером(к ней будет общий доступ у любого сис. админа и в случае чего он сможет посмотреть что случилось). Полным ходом идёт накатывание части нейронки на виртуальную машину","","backend","Alexandr Frolov","",""
"прогнать silero_te по выходам из conformer и пару примеров на гитхаб в ридми","","","Голос, sprint 5","Александр Никитин","",""
"подготовить код для инференса модели","","","Голос, sprint 4, backend","Александр Локис","",""
"Создать манифест-файлы для датасета из MCV","","","sprint 3","Александр Никитин","",""
"начать обучения модели суммаризации поверх raw текста","","","sprint 5, sprint 6, текст","Александр Никитин","",""
"Запустить ASR модель","продвинутая теория - https://youtube.com/playlist?list=PLk4h7dmY2eYHfxOR8PO_v6nu5crh6tMG-   https://github.com/severilov/2022-DL-Audio-Course   https://stepik.org/lesson/733319/step/1?unit=734842   https://docs.nvidia.com/deeplearning/nemo/user- guide/docs/en/stable/asr/intro.html     https://docs.nvidia.com/deeplearning/nemo/user-     https://colab.research.google.com/drive/1VXWfxouYTepOteecWi4lmxc_HgYgtBPR?usp=sharing   https://drive.google.com/file/d/1wxTkHDUKwgsKSicwkbuaHM_jh2nkMDly/view?usp=sharing   https://drive.google.com/file/d/1ieGk5ZWAoH3zDJ72wkU2FQttB8rizwGs/view?usp=sharing","","Голос, sprint 3","Александр Никитин","",""
"Обновить датасет","Датасет обновлен на 10 сырых записей. В итоге 16 сырых, 240 аугументированных записей. Все запушено в гитхаб Обновлены таблицы Добавлены питоновские ноутбуки: пример работы, сделать аугументации с обновлением google drive (если у вас есть ссылка на диск)","","датасет, sprint 4","Indykov Dmitry","",""
"Подобрать гиперпараметры для модели суммаризации","","","текст, sprint 7","Александр Никитин","",""
"подготовить ноутбук для тренировки модели","","","Голос, sprint 4","Александр Никитин","",""
"протестировать текущее решение ASR на тестовом датасете","Протестирована модель 'golos_ft_withSpecAug_50epochs'. WER: 0.739, CER: 0.392","","Голос, sprint 3","Александр Никитин","",""
"Обучить модель суммаризации, используя word dropout","","","текст, sprint 7","Александр Никитин","",""
"Изучить Hugging Face","Introduction - Hugging Face Course Automatic speech recognition (huggingface.co)","","доп теория, sprint 4","Александр Никитин","",""
"Протестировать другие модели на сгенерированном датасете","Протестированы следующие модели: предобученная модель 'stt_ru_quartznet15x5' от nemo (WER: 0.914, CER: 0.517) и 'QuartzNet15x5_golos' от Сбера (WER: 0.745, CER: 0.515). Наилучший результат на нашем датасете показало текущее решение 'golos_ft_withSpecAug_50epochs' (WER: 0.739, CER: 0.392)","","Голос, sprint 3","Александр Никитин","",""
"тестовые данные для суммаризации","Завершить создание датасета из диалогов и краткой суммаризации их проблем.","","датасет, sprint 7","Indykov Dmitry","",""
"Train test split","Произвести разбиение на train, test. Если у записи все теги уникальные - она попадает в train, остальные разбиваются случайно 70/30 Stratify не реализован из-за недостатка записей","","датасет, sprint 4","Indykov Dmitry","",""
"Провести аналитику по транскрибированным текстам","Модель хорошо распознаёт цифры и числа. Ошибается в именованных сущностях (типа СПбГУ). Распознаёт слово ""удостоверение"" как ""удовлетворение"". Очень хорошо распознаёт речь бота из Audio3 (видимо, из-за того, что все звуки ботом проговариваются чётко). Не понимает слово ""доска"". Вообще не распознаёт очень тихую речь. В целом плохо понимает, где начало и конец слова в аудиозаписях с посторонними шумами. Плохо распознаёт слова, в которых проглатываются и нечётко проговариваются некоторые звуки (кажется, эту проблему можно частично или полностью решить, если добавить поверх нашей модели языковую модель).","","sprint 3, датасет","Александр Никитин","",""
"фидбек по ноутбуку суммаризации","добавить early stoppping(callback = EarlyStoppingCallback(early_stopping_patience=5,  early_stopping_threshold=0.0001) trainer.add_callback(callback)) добавить rouge для оценки и колбека(!pip install -q rouge from rouge import Rouge true = ['Филатова Мария Евгеньевна забыла свой пароль от почты.',  'В аудитории компьютер и доска не включаются.',         'Интернет в общежитии номер пятнадцать, блок семьсот девять а отключается несколько раз за день.',         'Интернет на компьютере Ярослава Гуся в общежитии номер тринадцать не работает.',         'У пользователя не открывается Блэкборд.',         'Пользователь хочет получить место в облачном хранилище Google.'] pred = ['Пользователь забыл пароль от почты.',         'У пользователя тут в аудитории компьютер и доска не включаются.',         'Пользователь хочет починить интернет.',         'У пользователя на компьютере интернет не работает.',         'У пользователя не открывается Блэкборд.',         'Пользователь Сергей Никитич хочет получить место в облачном хранилище Google.']   rouge = Rouge() scores = rouge.get_scores(pred, true, avg=True)   print(scores['rouge-1']['f']) print(scores['rouge-2']['f']) print(scores['rouge-l']['f'])) где-то дальше падает лосс, поэтому поставить больше эпохможно не делать delможно использовать trange(16) вместо tqdm(range(16))усилить регуляризацию(dropout, weight_decay, label_smoothing)увеличить батчдобавить warmup и попробовать пару разных lr","","sprint 6, текст","Александр Локис","",""
"commonvoice to wav notebook","функции перенести в модуль src/ + аннотации и докстринги","","Голос, sprint 3","Александр Никитин","",""
"word dropout","","","текст, sprint 7","Александр Локис","",""
"гит в колабе","","","доп теория, sprint 3","Александр Никитин","",""
"обновить код для инференса","","","Голос, backend, текст, sprint 7","Александр Локис","",""
"оформить основные функции из ноутбуков в .py","","","sprint 3","Александр Локис","",""
"протестировать суммаризацию на транскрибированном тексте","смысл улавливает, но с опечатками суммаризирует, потому что есть опечатки в самом тексте. Видимо, модель поняла, что можно просто брать слова и все будет ок. А нам нужно, чтобы она еще и исправляла опечатки, поэтому нужно обучить на транскрибированных текстах","","текст, sprint 7","Александр Локис","",""
"Изучить Git","","","доп теория, sprint 3","Indykov Dmitry","","Done"
"Финальные штрихи датасета","Диск Навел порядок на диске и привел его к финальному виду. Файловая система диска: auto     аудио аугментированные ipynb ноутбуком test   тестовая выборка аугментированных аудиоtrain   тренировочная выборка аугментированных аудиоnoises     файлы шумовout of date    устаревшие данныеraw    чистые записи .wavAI answers(.gsheet, .tsv)  названия, теги, транскрипции, суммаризацииAugs_train_test_drive.ipynb ноутбук аугментаций и train test split’atest.tsv    тестовая выборка аугментированных аудио train.tsv   тренировочная выборка аугментированных аудиоkeywords   список тегов  Статистика: Сырых записей 31 Тест 135 Тренировка 330 Среднее количество слов в полных текстах 113 Среднее количество слов в суммаризации 9.7 Средняя продолжительность сырых аудио 54.7 сек Средняя продолжительность ауг аудио 57.5 сек","","датасет, sprint 7","Indykov Dmitry","",""
"Добавить датасет в Github","","","sprint 3, датасет","Indykov Dmitry","",""
"научиться делать аугментацию скриптом","https://docs.nvidia.com/deeplearning/nemo/user-guide/docs/en/stable/starthere/best-practices.html#data-augmentation   https://github.com/NVIDIA/NeMo/blob/main/tutorials/asr/Online_Noise_Augmentation.ipynb   upd: сделано, закомичено, файлы на диске","","sprint 3, датасет","Indykov Dmitry","",""

"ССылки: News article: Ai helps to assist in ITSM ticketing  Топ 10: Сервисы для поддержки клиентов через мессенджеры Asterisk","https://www.omnitracker.com/en/resources/news/ai-in-itsm/, https://www.helpdeski.ru/tags/podderzhka_cherez_messendzhery/, https://www.asterisk.org/"
